"Freq [GHz]","im(Z(1,1)) [] - antL='0.28meter'","re(Z(1,1)) [] - antL='0.28meter'"
0.89,1446.00786069913,956.498200133555
0.895,1420.09010141715,1646.75779225181
0.9,746.303134879527,2387.70836898521
0.905,-352.422896528088,2336.34845212535
0.91,-908.424808620275,1685.67438542956
0.915,-977.263842868026,1135.28107588522
0.92,-889.863084940712,791.584731912693
0.925,-777.379747524589,582.205980955823
0.93,-674.073967387666,449.598052387077
0.935,-585.928055592103,361.530331139975
0.94,-511.803716472179,300.501392992908
0.945,-449.212020787022,256.706783625574
0.95,-395.789191212629,224.41064025387
0.955,-349.592543059528,200.115416834509
0.96,-309.084131842128,181.61541099494
0.965,-273.047026235262,167.492351702018
0.97,-240.50232894416,156.843597911307
0.975,-210.646062418634,149.143192754749
0.98,-182.816560346235,144.188901676176
0.985,-156.513030847618,142.11258448897
0.99,-131.513936287394,143.430035672058
0.995,-108.19117997064,149.049662546362
1,-88.1410718634609,159.957254666881
