"Freq [GHz]","re(Z(1,1)) [] - antL='0.42meter'","im(Z(1,1)) [] - antL='0.42meter'"
0.54,443.055533772303,265.145285499456
0.545,471.349562327728,214.264530072359
0.55,478.227953143938,154.203948434042
0.555,461.231815470481,98.2348557030116
0.56,426.862275746929,57.910559279368
0.565,386.330699301142,38.0177578129118
0.57,350.156138936417,36.1810596913852
0.575,324.294035667954,45.6492817164632
0.58,309.592028621909,60.032191655414
0.585,305.696158410258,75.6423503777269
0.59,313.546216712691,88.2031481599392
0.595,331.715327044947,89.845158237466
0.6,350.646658420293,72.9389636133747
0.605,354.639524058025,40.5115895488756
0.61,336.14679068287,8.41777776623856
0.615,302.367199058697,-9.06038787540509
0.62,265.744018200475,-7.87806492615983
0.625,236.223167241246,7.39628654002848
0.63,216.044249880481,26.7528266363712
0.635,187.188803264667,47.1725740762781
0.64,173.111385559611,116.355367381639
0.645,211.862735846266,165.283799169052
0.65,255.024030624994,193.551209362781
0.655,317.236122271451,217.987032410073
0.66,413.948157175285,204.457464428751
0.665,506.704599448058,102.139825731281
0.67,480.818409891158,-65.1102643066532
0.675,328.86882696902,-139.337807784399
0.68,210.714254532372,-79.6380854542803
0.685,177.618701484501,6.27292422306093
0.69,191.87452005748,70.4220090951079
0.695,227.097394016073,113.450898637949
0.7,279.399233318039,85.0662869117156
0.705,210.126763104128,90.0629037154545
0.71,206.463652380201,202.851363693156
0.715,331.754836413754,339.66071532785
0.72,744.426704563827,244.069892323397
0.725,470.065288113801,-187.476326189082
0.73,313.850447209929,-22.1449066229603
0.735,444.95227402332,71.5853248116896
0.74,498.618921917696,-138.160478951201
0.745,324.060896475647,-223.967022172105
0.75,205.21055250673,-120.077276118739
0.755,213.169762691432,0.714193734997655
0.76,395.659435662478,83.1110115152947
0.765,192.217561885595,-223.866152272446
0.77,106.619272618484,3.42548399625425
0.775,225.034667519104,166.033307342959
0.78,457.192996418965,307.617231195431
0.785,376.17799418308,-294.356186112885
0.79,192.128830341113,84.049904727939
0.795,1539.64460389859,454.731964724708
0.8,175.905123775014,-579.69167907326
0.805,94.159562325784,-278.114550769036
0.81,74.1866871993754,-161.289467549295
0.815,70.8688407668194,3.76563533380876
0.82,220.967243159229,389.798908995136
0.825,685.059349624845,-1191.95933452458
0.83,72.9663203480837,-494.115011975079
0.835,36.578421005681,-329.232005473304
0.84,26.9179285958455,-252.329621723113
0.845,22.6971241795568,-204.597543845893
0.85,20.3081072336985,-170.438367823738
0.855,18.7266218760508,-143.864394732868
0.86,17.5691674904293,-122.039131483147
0.865,16.6647961770316,-103.421548692008
0.87,15.9278242777898,-87.089259896563
0.875,15.3118097417117,-72.4486694965004
0.88,14.790426996212,-59.0954999746621
0.885,14.3486520643833,-46.7414441897958
0.89,13.9783671130197,-35.1727842891632
0.895,13.6760349129777,-24.2256661819321
0.9,13.441417243328,-13.7705911580423
0.905,13.2768564744178,-3.70226336522612
0.91,13.1868810504475,6.06732642980417
0.915,13.1780063336975,15.6138050404466
0.92,13.258653249917,25.0040586036102
0.925,13.4391336658062,34.2991135035992
0.93,13.731676235095,43.5566441383522
0.935,14.1505104809924,52.8334697910322
0.94,14.7121184325006,62.1884426013276
0.945,15.4359481713046,71.6862128972464
0.95,16.3462345437652,81.4024440747446
0.955,17.4761879679077,91.4310314664613
0.96,18.8767974531407,101.893525206956
0.965,20.6338944870443,112.949787145908
0.97,22.8987194838089,124.80592163688
0.975,25.9376291171344,137.708458109947
0.98,30.1990225463657,151.897908335094
0.985,36.349009317924,167.466239578073
0.99,45.0089019028332,184.094098577795
0.995,55.4174764646757,201.614767616217
1,66.2500290430369,226.108851265447
