"Freq [GHz]","re(Z(1,1)) [] - antL='0.48meter'","im(Z(1,1)) [] - antL='0.48meter'"
0.49,519.118713097098,240.995961857465
0.495,524.817319644716,196.384078719284
0.5,525.237001820288,157.565887729099
0.505,524.509851356929,123.176406166043
0.51,524.806846163023,89.7940247969245
0.515,525.449692909209,53.1247845717661
0.52,522.22008014649,9.79440536178832
0.525,507.915260138524,-39.61029516869
0.53,476.425439934096,-87.8589074902759
0.535,429.062096120284,-123.772022984398
0.54,375.180408389332,-140.455961615375
0.545,324.98680449546,-139.315758469769
0.55,283.980158027914,-126.145208992564
0.555,253.433908204219,-106.431156335034
0.56,232.92180112799,-84.0340240534512
0.565,221.646924974472,-61.9387386836525
0.57,218.18373328227,-42.9346814569538
0.575,220.045078965643,-28.8619241709978
0.58,225.330147941033,-19.9346482404491
0.585,233.734917690895,-17.6656299622762
0.59,241.565922892579,-26.6530039747966
0.595,237.380120174744,-46.5615696233534
0.6,213.696949331004,-62.854507995106
0.605,181.154258017935,-61.6018078507591
0.61,153.762853359685,-45.0104420410668
0.615,135.920031497307,-21.102239054343
0.62,126.640141548262,4.94979482816076
0.625,123.766879126003,30.6073772325578
0.63,123.391547640635,55.2792629877038
0.635,120.066908141386,90.2263729844242
0.64,153.23911235247,148.768924066751
0.645,221.988633283032,167.923960215465
0.65,303.642021223529,151.416786563954
0.655,368.164223622329,55.400758323956
0.66,313.502412007299,-55.6970195448993
0.665,220.288105161696,-69.2032678471872
0.67,173.953605762429,-34.0874728081384
0.675,148.374889494403,1.37889149480811
0.68,142.886528747247,37.0151580112223
0.685,152.527461039369,68.3936526924231
0.69,173.188116718967,82.6239110315471
0.695,181.710033097274,94.5121244040415
0.7,191.678412870261,82.5124893713119
0.705,170.45662239187,128.276261395636
0.71,245.009068668448,177.356568382563
0.715,296.193043929122,134.612879923546
0.72,344.890289486874,119.382466615816
0.725,321.038486830107,21.8036759907886
0.73,277.190987902635,73.3233495990776
0.735,421.402856440036,75.6974597525874
0.74,345.987219369705,-136.427343717047
0.745,198.436169504598,-104.216253978941
0.75,159.030842275045,-14.8325373343142
0.755,183.843271849382,56.5885241512958
0.76,354.910258211915,126.473851207876
0.765,128.194015565178,-82.2935507686546
0.77,107.496557077075,118.469602604843
0.775,310.642772206458,292.530023122757
0.78,706.981508671485,-211.170989433312
0.785,158.681270196601,-117.489253677683
0.79,175.404577804545,197.258005660086
0.795,1164.99693221814,-669.207600023648
0.8,112.273275043428,-331.525569186864
0.805,93.015517297625,-142.783956644456
0.81,86.0735419937978,-86.24838260321
0.815,74.3937896018526,76.6771552169126
0.82,417.379607449203,587.523109984259
0.825,206.665386340888,-694.185199967496
0.83,42.9661538032245,-328.251385128646
0.835,24.5137744885059,-220.038728192299
0.84,18.6081396890419,-163.566257473131
0.845,15.7515183692415,-126.39124852872
0.85,14.0205204036272,-98.743430963834
