"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.525,218.285350704499,-70.7282780715929
0.53,238.979862617467,-35.8225995008222
0.535,292.999366784475,-14.9401664002672
0.54,374.833244402678,-49.4849689240866
0.545,377.141826238675,-172.509874767695
0.55,282.556217378688,-183.698621770053
0.555,303.328018598565,-153.241630699882
0.56,292.328229443421,-222.113233218369
0.565,247.550020163697,-260.972002318503
0.57,135.133425008565,-254.116343274406
0.575,92.6266185208968,-156.122339501917
0.58,168.146534059325,-98.7398398672133
0.585,104.860466191731,-151.470949308951
0.59,113.811106446027,-85.7884562818353
0.595,128.896575965162,-53.2747411969907
0.6,167.189280199426,-79.6480520542538
0.605,117.570818941033,-74.6794983010937
0.61,115.145797235257,-26.6068636305143
0.615,138.08718546349,-0.408574849909361
0.62,142.894860105348,13.8603288961121
0.625,155.033061825254,66.6857686875627
0.63,239.012455890034,112.844015541881
0.635,430.740716805579,213.909950525105
0.64,296.379958599959,-290.570196057371
0.645,179.356063497833,-77.2546706016483
0.65,114.393206969838,-57.1625614409387
0.655,172.539110259128,191.351407288726
0.66,571.217117243923,-3.09473126897246
0.665,481.342538863734,-126.614590256041
0.67,376.777663714673,-324.172167853873
0.675,201.646121907191,-286.347249070429
0.68,125.913927775888,-188.604261801143
0.685,164.066112473426,-89.5249413272649
0.69,310.514505885066,-148.977399689639
0.695,171.53413366431,-190.638926436045
0.7,97.0939115085492,-177.645348168193
0.705,47.8219065460427,-95.521393546835
0.71,45.2576206532517,0.606649647170895
0.715,86.3836083648312,118.175554653086
0.72,216.360405996899,287.154791856608
0.725,820.82554442407,79.7491272903062
0.73,662.238118188263,-244.384032099904
0.735,202.850162524576,-540.951082343013
0.74,69.4931802589265,-333.548755648983
0.745,34.1849842009399,-233.446296553187
0.75,26.8165458669096,-158.541527606088
0.755,56.6706325614326,-76.0131676289356
0.76,48.1247130781455,-88.8701412215657
0.765,113.62170942345,-36.6910676577349
0.77,43.7806318373037,-66.8347966136791
0.775,39.4409998635756,20.5204394298563
0.78,74.5801894681024,113.825792321041
0.785,263.604861021799,212.151440402529
0.79,241.951159488382,0.068830274306336
0.795,289.602768901662,298.29777497978
0.8,1051.27251186689,350.10038508919
0.805,274.890211934287,-727.895943071594
0.81,81.4141234934851,-422.571820707965
0.815,47.3740334266602,-308.005402751033
0.82,31.3449562685177,-245.716591334953
0.825,21.3508098609,-201.925275805343
0.83,15.3725201619464,-167.691275666127
0.835,11.9217728216082,-139.565873298583
0.84,9.9374174926025,-115.518242462111
0.845,8.94894512742707,-94.2171313467077
0.85,8.67245826346065,-75.0621085220205
0.855,8.21250543257647,-57.4402349346812
0.86,7.56611272122103,-39.8357899927212
0.865,7.36032282454685,-21.7579890163763
0.87,7.97698750924993,-2.80542848786783
0.875,9.99058608451688,17.4919209448935
0.88,14.7690553647177,39.6914900107044
0.885,25.6149360004259,62.7708383311553
0.89,43.7905221880786,78.5465122513247
0.895,54.2242734966821,84.765111479837
0.9,57.708049120648,99.2656368454017
0.905,69.3626526540295,120.778688654343
0.91,88.4345295446006,134.267474269585
0.915,99.3591333759076,147.013334536542
0.92,119.811292011401,169.466831627416
0.925,154.521410405869,176.328331530428
0.93,168.860628915307,166.809405297196
0.935,166.060177838352,179.883677188853
0.94,175.771918156571,220.791157438783
0.945,226.550713915542,280.669861996947
0.95,342.578402830279,327.562566769734
0.955,552.002469337919,253.20068509297
0.96,553.979966467071,-13.7483354073233
0.965,420.260493769323,-75.7303649184545
0.97,366.731181448235,-80.4065802448354
0.975,311.005659634334,-98.6656741496419
0.98,261.772139308173,-62.0358127842967
0.985,269.210568725337,-32.6947028509855
0.99,265.297081592448,-40.4426424471896
0.995,248.831096798876,-17.9302624871276
1,275.957594802647,13.8150364019791
