Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
4,-0.405265956120315+0.0995584669343674i,-0.504998855271216-0.0882015739133386i,0.0106115522879474-0.00584265794663728i,0.218886064533004+0.0276336884677582i,-0.504998855271213-0.0882015739133402i,-0.0595265471170111+0.00955275032527506i,0.220944379283781+0.028125019410521i,-0.472037505743883+0.210139425895452i,0.0106115522879545-0.00584265794664117i,0.220944379283775+0.0281250194105199i,-0.403297257669067+0.0984701555728319i,-0.505630174038677-0.0883776789426277i,0.218886064532998+0.027633688467759i,-0.472037505743869+0.210139425895454i,-0.505630174038684-0.0883776789426289i,-0.0614758528329516+0.00989173811707332i
4.1,-0.307551084713575+0.0611322572098154i,-0.344779525433546-0.110229127595576i,-0.194949021013539+0.113579792925415i,0.243853268908664-0.00354037725141926i,-0.344779525433544-0.110229127595577i,-0.138686040166391-0.00156215641017876i,0.246216443377478-0.00366712749090752i,-0.629594792464619+0.146751356510966i,-0.19494902101354+0.113579792925416i,0.246216443377476-0.0036671274909061i,-0.304813741843566+0.059981410143055i,-0.344809458456258-0.11034657279968i,0.243853268908663-0.00354037725141982i,-0.629594792464615+0.146751356510966i,-0.34480945845626-0.110346572799682i,-0.141126202172795-0.00156072343692324i
4.2,-0.195814911252111+0.0646119516624037i,-0.114290985884795-0.0326166091645169i,-0.460975705596523+0.162294560954985i,0.145474007948928-0.0148717023283282i,-0.114290985884798-0.0326166091645173i,-0.016036836314185-0.00329433812205826i,0.146738724439698-0.0152182091801019i,-0.73893937991473-0.0260758920526692i,-0.460975705596513+0.162294560954975i,0.146738724439706-0.0152182091801013i,-0.191679278143913+0.0629858782928357i,-0.113854600081232-0.0324942846005881i,0.14547400794892-0.0148717023283251i,-0.73893937991472-0.0260758920526488i,-0.113854600081227-0.0324942846005863i,-0.0193475493674804-0.00397519336642508i
4.3,-0.294512167485483+0.153835598911202i,-0.0451731496553486-0.00279549378677606i,-0.497188642008197+0.0200705631981972i,0.103842288333133-0.00781598279749092i,-0.0451731496553479-0.00279549378677597i,0.194918325249906+0.0393163247270864i,0.104153590940159-0.00795278650657017i,-0.613045320386988-0.245293511642518i,-0.497188642008196+0.0200705631981982i,0.10415359094016-0.00795278650657048i,-0.290708184574872+0.152095235527979i,-0.0444482092451449-0.00271698491334619i,0.103842288333133-0.00781598279749049i,-0.613045320386993-0.245293511642518i,-0.0444482092451449-0.00271698491334608i,0.191103760164423+0.0389075717154155i
4.4,-0.466260662367622+0.224944239290213i,-0.156175703601474+0.0104761645456269i,-0.385730293973757-0.0417651841486513i,0.113546422795494-0.0118844953937776i,-0.156175703601481+0.0104761645456276i,0.327072788778994+0.0246130927986664i,0.113852813399573-0.0120099204584922i,-0.326787069705942-0.221141440414852i,-0.385730293973752-0.0417651841486508i,0.113852813399573-0.0120099204584915i,-0.463520944358269+0.224234448445909i,-0.155949061645247+0.0106975948478044i,0.113546422795493-0.0118844953937762i,-0.326787069705941-0.221141440414846i,-0.155949061645247+0.010697594847805i,0.323961851958678+0.0253881758936034i
4.5,-0.579747346208884+0.202592689964763i,-0.289115424366901+0.0206762817197762i,-0.292595966097173-0.0521412511303507i,0.0806963738251135-0.0127507350941179i,-0.289115424366905+0.0206762817197754i,0.360790860411755-0.0300764182610939i,0.0809198542302337-0.0128642103222719i,-0.0973107388280045-0.0717960081655154i,-0.292595966097173-0.0521412511303502i,0.0809198542302343-0.0128642103222718i,-0.577822591642023+0.202235209244231i,-0.289703166680888+0.0212246642783292i,0.0806963738251168-0.0127507350941182i,-0.0973107388280059-0.071796008165516i,-0.289703166680888+0.0212246642783297i,0.358863444247463-0.0285386878557555i
4.6,-0.626524929056059+0.141138650466718i,-0.387140825179055+0.000863869659133416i,-0.220942483967791-0.0491248862547327i,0.0188812645981863-0.00356436745767756i,-0.387140825179056+0.000863869659133583i,0.303213903601923-0.0694249502528499i,0.0188573583854338-0.00358069595537948i,0.0775994750723692+0.0516256893679823i,-0.220942483967791-0.0491248862547331i,0.0188573583854304-0.00358069595537881i,-0.624881671027441+0.140605756217566i,-0.388521036768982+0.00145101138420387i,0.0188812645981837-0.00356436745767708i,0.0775994750723749+0.0516256893679859i,-0.38852103676898+0.00145101138420418i,0.302418369779166-0.0678843746687214i
4.7,-0.625795175572475+0.0798095342277084i,-0.432842497403889-0.0453745697006055i,-0.159842217911228-0.0411969800479612i,-0.050066099248602+0.0094856751328121i,-0.432842497403893-0.0453745697006057i,0.192344697256365-0.0628660592358391i,-0.0504138891350797+0.00960944599544353i,0.225426371830287+0.123639987959911i,-0.159842217911225-0.0411969800479607i,-0.0504138891350833+0.00960944599544406i,-0.624046278748406+0.0790440417230193i,-0.434751118416569-0.0451190764140588i,-0.0500660992486061+0.00948567513281276i,0.225426371830294+0.123639987959913i,-0.434751118416568-0.0451190764140576i,0.192602018488233-0.0619372582148585i
4.8,-0.596773115904146+0.0342054342476327i,-0.419379136254635-0.0962627878606524i,-0.100526480877619-0.0292976045862379i,-0.115948695155148+0.0190261654929392i,-0.419379136254636-0.0962627878606533i,0.0645870545246364-0.0227523973411339i,-0.116698521831366+0.0192733863895661i,0.360606383388319+0.150023968402708i,-0.100526480877621-0.0292976045862383i,-0.116698521831368+0.0192733863895665i,-0.594759149537139+0.0332646530608114i,-0.421503716791822-0.0965011777665905i,-0.115948695155149+0.0190261654929393i,0.360606383388322+0.150023968402708i,-0.421503716791822-0.0965011777665898i,0.0661445182312508-0.0229222879386079i
4.9,-0.555352162583601+0.00850654340619776i,-0.347253783453213-0.12284119465621i,-0.0330697303176525-0.0107691082120451i,-0.173750080820832+0.0201627598021099i,-0.347253783453211-0.122841194656208i,-0.0534029721814825+0.0157728972839263i,-0.174967437261958+0.0204405348499407i,0.487336434941389+0.128768151378543i,-0.0330697303176557-0.0107691082120463i,-0.174967437261965+0.0204405348499423i,-0.552943491384773+0.00737547060401302i,-0.349430362894509-0.123536126157203i,-0.173750080820832+0.0201627598021111i,0.487336434941396+0.128768151378545i,-0.349430362894506-0.123536126157202i,-0.0499096760750089+0.0144806519285558i
5,-0.518445613079304+0.00137810689706419i,-0.22863999267244-0.101148472675646i,0.0552823680954767+0.0194545061668351i,-0.216679603619337+0.00992185198042761i,-0.228639992672442-0.101148472675645i,-0.125250332144083+0.0213606415229775i,-0.218302218327906+0.0100413170225416i,0.587405596986564+0.0452718032655412i,0.0552823680954793+0.0194545061668364i,-0.218302218327918+0.0100413170225429i,-0.515321276418371-1.68204837541585E-05i,-0.230956511189747-0.102201746522729i,-0.216679603619344+0.00992185198043031i,0.587405596986578+0.0452718032655398i,-0.230956511189743-0.102201746522726i,-0.119183393079125+0.0199401858840467i
5.1,-0.507934644586892+0.00530284339257859i,-0.0931399778469386-0.0409702507565889i,0.172317662485613+0.058730406279613i,-0.230770161856502-0.0105573785732101i,-0.0931399778469447-0.0409702507565911i,-0.099849331542312+0.00243426628808139i,-0.232421168847942-0.0107851748361554i,0.600145350041113-0.0957005542477296i,0.172317662485618+0.0587304062796149i,-0.232421168847952-0.0107851748361568i,-0.50348660624713+0.00358730108905223i,-0.0959169353256794-0.0422568784132824i,-0.230770161856513-0.0105573785732098i,0.600145350041118-0.0957005542477369i,-0.0959169353256781-0.0422568784132813i,-0.0919749236478112+0.00228185506802753i
