Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
4.4,-0.472557702935117+0.0744322422500766i,-0.0354846266114046+0.0154891616668681i,-0.448242498569151-0.133499971905539i,0.220423831659398+0.0228184689683206i,-0.0354846266114036+0.015489161666869i,-0.4689956543238+0.0792636673437124i,0.219491331166227+0.0237718229354967i,-0.439389736514407-0.135476154089724i,-0.448242498569168-0.133499971905539i,0.219491331166232+0.023771822935493i,-0.0642009640115008+0.0125496520949343i,-0.505561630526014+0.163661853125282i,0.220423831659481+0.0228184689683411i,-0.439389736514404-0.135476154089717i,-0.505561630526017+0.163661853125282i,-0.077802029073351+0.0149508586478301i
4.5,-0.412675603815179+0.0609108810442536i,-0.179666289969783+0.0761700015165064i,-0.293040228104257-0.120560854358403i,0.239555212797042-0.00165144221617756i,-0.179666289969824+0.0761700015165325i,-0.413607019595364+0.0671837874514754i,0.242350013046529-0.000338444462823291i,-0.279698472693666-0.116940894127955i,-0.29304022810429-0.120560854358416i,0.242350013046491-0.000338444462827447i,-0.126032956151612+0.00499575914924391i,-0.609892574262178+0.0839631460662086i,0.239555212797219-0.00165144221621314i,-0.279698472693673-0.116940894127951i,-0.609892574262185+0.083963146066202i,-0.135399823121776+0.00381282332051042i
4.6,-0.3758138142545+0.0789278065815794i,-0.331594284179988+0.0987870910364514i,-0.113825009075535-0.0437252210033766i,0.185162020687031-0.0168800395461992i,-0.33159428418004+0.0987870910364599i,-0.384454905210157+0.086267098509774i,0.192135669830602-0.0170688483778079i,-0.0997035041451884-0.0379670745458362i,-0.113825009075554-0.0437252210033866i,0.19213566983059-0.0170688483778003i,-0.0339452210639594-0.00420968669807634i,-0.651237858455183-0.052044376226045i,0.185162020686907-0.0168800395462188i,-0.0997035041452001-0.037967074545839i,-0.651237858455175-0.0520443762260536i,-0.033755653058275-0.00460757940258671i
4.7,-0.439062332731355+0.124377963540588i,-0.394428249437217+0.0474169112297989i,-0.0180109030379099-0.00393278859787443i,0.136196003630601-0.0156937906440051i,-0.394428249437222+0.0474169112297928i,-0.452598085194547+0.131331759300198i,0.142235293659252-0.0169048439217164i,-0.00849478011254188-0.00177454263918796i,-0.0180109030379143-0.00393278859787552i,0.142235293659259-0.0169048439217167i,0.154123714980652+0.0235617963786451i,-0.561674736742064-0.193963546102983i,0.136196003630559-0.0156937906439963i,-0.00849478011254246-0.00177454263918814i,-0.561674736742058-0.193963546102982i,0.157641571382584+0.0252006922125664i
4.8,-0.557586300157094+0.139322930859153i,-0.366156944505623-0.00461129234822538i,-0.0615187833830482-0.0045419659314779i,0.109145919274376-0.0157676325443174i,-0.366156944505628-0.0046112923482231i,-0.570591217259037+0.142500450696761i,0.110750396040829-0.0166206151850491i,-0.0573577423613289-0.00370165376977985i,-0.0615187833830613-0.00454196593147842i,0.110750396040829-0.0166206151850483i,0.295283307874545+0.0123508463474956i,-0.348549122697561-0.20395915640432i,0.109145919274371-0.0157676325443188i,-0.0573577423613273-0.00370165376977957i,-0.348549122697558-0.203959156404322i,0.297774376751559+0.0137980952628056i
4.9,-0.633369040301054+0.0930625958723075i,-0.314258858282233-0.0302680078892371i,-0.164954866533934-0.00418414399174204i,0.0647328866315314-0.0116546603271257i,-0.314258858282242-0.0302680078892376i,-0.64407501796939+0.0926627249583847i,0.0634279828199597-0.0116948773093078i,-0.163530183963949-0.00285317208760673i,-0.164954866533948-0.00418414399174227i,0.0634279828199676-0.0116948773093091i,0.329981759630988-0.0363624821524072i,-0.142004547088255-0.0974100564766384i,0.0647328866315148-0.0116546603271229i,-0.163530183963943-0.0028531720876057i,-0.142004547088249-0.0974100564766345i,0.332695726523508-0.0350323290922288i
5,-0.646291126758137+0.0275330656839553i,-0.264911572865681-0.0413177318607823i,-0.25608017385624-0.0132451973668258i,0.00356649229182617-0.000700633222814022i,-0.264911572865673-0.0413177318607802i,-0.654836074844713+0.0250916463953443i,0.00122729733803323-0.000244174375337186i,-0.256284733209501-0.0114790897224343i,-0.256080173856248-0.0132451973668275i,0.00122729733803794-0.000244174375338128i,0.282650056027774-0.0692356451320364i,0.0266073588031259+0.0177553469917058i,0.0035664922918268-0.000700633222814131i,-0.2562847332095-0.0114790897224337i,0.0266073588031277+0.0177553469917069i,0.28689808360911-0.0688262154343709i
5.1,-0.61768904911052-0.0239608898830061i,-0.217684546682991-0.0451532641401416i,-0.311397001465399-0.0371778496960908i,-0.058696043302572+0.0109499981558008i,-0.217684546682978-0.0451532641401296i,-0.624462160904478-0.0274663208969586i,-0.0611950133614325+0.0114793220211903i,-0.313027656491237-0.0354481229931117i,-0.311397001465399-0.0371778496960911i,-0.0611950133614329+0.0114793220211905i,0.195130309654336-0.0666889842033646i,0.175599593293225+0.102486938742593i,-0.0586960433025688+0.0109499981558003i,-0.313027656491237-0.0354481229931107i,0.175599593293225+0.102486938742592i,0.200676169422352-0.0677762230001948i
5.2,-0.572688555878106-0.0527319595007896i,-0.167222551767535-0.0426544851020335i,-0.326448451523484-0.0678281980690164i,-0.1119389155086+0.0175715462731575i,-0.167222551767525-0.0426544851020231i,-0.577783698268455-0.056723540279905i,-0.114237676109058+0.0179243355585402i,-0.329300326366472-0.0666880473372933i,-0.326448451523482-0.0678281980690153i,-0.114237676109059+0.0179243355585402i,0.0939565863276185-0.0368182715258292i,0.314225714026575+0.145590413226306i,-0.111938915508601+0.0175715462731577i,-0.329300326366473-0.0666880473372935i,0.314225714026575+0.145590413226307i,0.100111615020446-0.0390249440265398i
5.3,-0.530101191036272-0.0637726291762593i,-0.107863622733383-0.0327496356088824i,-0.302194140740719-0.0919969551619978i,-0.153664856294849+0.0178391730109592i,-0.107863622733403-0.0327496356088902i,-0.533363909776737-0.0677812848413818i,-0.155493455458405+0.0179124696166855i,-0.305807765610335-0.0918444630894811i,-0.302194140740719-0.0919969551619966i,-0.155493455458405+0.0179124696166853i,-0.00802057079204022+0.00313701903573414i,0.439707369938392+0.140180744304556i,-0.153664856294847+0.0178391730109585i,-0.305807765610335-0.0918444630894812i,0.439707369938391+0.140180744304556i,-0.00178162899455867+0.000697343813436627i
5.4,-0.500743154885036-0.0660831923117918i,-0.0333296931960869-0.0114485222160407i,-0.242800672849842-0.0963052397469706i,-0.185502431569342+0.0126234875247218i,-0.0333296931960876-0.011448522216041i,-0.502035462775-0.0697024041754576i,-0.186587967472462+0.0124381949082624i,-0.246531291574666-0.0971490230179271i,-0.242800672849841-0.0963052397469703i,-0.186587967472462+0.012438194908262i,-0.101857676769109+0.0346244042408853i,0.537928841534834+0.0826583663398766i,-0.18550243156934+0.0126234875247215i,-0.246531291574665-0.097149023017927i,0.537928841534833+0.0826583663398765i,-0.0960016289081167+0.0328658183469468i
