"Freq [MHz]","mag(Zt(Rectangle3_T1,Rectangle3_T1)) []"
271,137.245979920814
271.5,140.404590652748
272,150.11054564536
272.5,162.428702979807
273,175.638848011718
273.5,189.077398747553
274,202.499045280623
274.5,215.790211245017
275,228.851943459478
275.5,241.602435632794
276,254.176199867558
276.5,267.4656476891
277,283.804083098867
277.5,306.61370016153
278,338.414578740828
278.5,379.767363737181
279,430.62119990397
279.5,491.535078261527
280,563.139794656311
280.5,643.855052011288
281,725.921567680589
281.5,792.184006867902
282,821.81087446039
282.5,807.237387998115
283,761.22863318756
283.5,703.217546528733
284,646.371679790772
284.5,596.188479134816
285,553.732591522021
285.5,518.273176905605
286,488.59539991874
286.5,463.515155289866
287,442.036337525402
287.5,423.370224387947
288,409.604423918272
288.5,395.844106951657
289,382.178500044855
289.5,368.683374070055
290,355.421565190696
290.5,342.443867148242
291,329.79015469877
291.5,317.490623299618
292,305.567056745035
292.5,294.034059248951
293,282.900209764708
293.5,272.169113470905
294,261.840338392422
294.5,251.910234513727
295,242.372639098531
295.5,233.219475907042
296,224.441258198225
296.5,216.027506328335
297,207.967090815954
297.5,200.248511249779
298,192.86012059759
298.5,185.790303495155
299,179.027616061961
299.5,172.560893777359
300,166.379332998486
300.5,160.472550832928
301,154.830627304293
301.5,149.444133068584
302,144.30414534962
302.5,139.402254256
303,134.730561212279
303.5,130.281670875294
304,126.048677605384
304.5,122.025147315375
305,118.205095322127
305.5,114.582960672206
306,111.153577301595
306.5,107.912142317121
307,104.854181652563
307.5,101.975513353589
308,99.2722087804586
308.5,96.7405520827717
309,94.3769983915918
309.5,92.1781312842814
310,90.1406201972402
310.5,88.261178579953
311,86.5365236870446
311.5,84.963338979049
312,83.5382401334072
312.5,82.2577456429761
313,81.1182528921981
313.5,80.116020448856
314,79.2471570965891
314.5,78.5076178717586
315,77.8932070757488
315.5,77.3995879328133
316,77.0222982783289
316.5,76.7567714158435
317,76.598361092481
317.5,76.5423694236828
318,76.5840765549148
318.5,76.7187708772753
319,76.9417787067318
319.5,77.2484924790923
320,77.6343966883048
320.5,78.0950909874287
321,78.6263100642561
321.5,79.2239400844262
322,79.8840316547619
322.5,80.6028093927955
323,81.3766782926377
323.5,82.2022271527026
324,83.0762293795859
324.5,83.9956415080359
325,84.9575997835964
325.5,85.9594151463583
326,86.9985669353475
326.5,88.0726956069825
327,89.1795947307158
327.5,90.3172024928606
328,91.4835929074776
328.5,92.6769669023793
329,93.895643419666
329.5,95.1380506442279
330,96.4027174506144
330.5,97.6882651385796
331,98.9933995104024
331.5,100.316903328527
332,101.657629179955
332.5,103.014492763865
333,104.386466610829
333.5,105.772574235576
334,107.171884720102
334.5,108.583507719993
335,110.006588883802
335.5,111.440305673058
336,112.883863568824
336.5,114.336492649575
337,115.797444524372
337.5,117.265989604805
338,118.74141469891
338.5,120.223020910142
339,121.710121824494
339.5,123.202041968927
340,124.698115524424
340.5,126.19768527717
341,127.700101791538
341.5,129.204722788819
342,130.710912715865
342.5,132.218042488036
343,133.725489391148
343.5,135.232637127368
344,136.738875990318
344.5,138.243603154942
345,139.746223068073
345.5,141.246147925962
346,142.742798225485
346.5,144.23560337613
347,145.724002360393
