"Freq [MHz]","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.2meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.3meter'","dB(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.5meter'"
416,-1.30254469384012,-4.36411368334729,-5.96630741768292,-6.85934126328091
418,-1.29606216898235,-4.20049897559255,-5.66601592360961,-6.4226185851552
420,-1.2935586782009,-4.06145993472507,-5.40695506656502,-6.03042128711057
422,-1.29451079612324,-3.9431713865013,-5.18308172181352,-5.68247750632761
424,-1.29847380571127,-3.84236981431653,-4.98903986140675,-5.37554670812085
426,-1.30507110661785,-3.75630902034685,-4.82021992671273,-5.10523810431621
428,-1.31398427523213,-3.6826969232871,-4.67272317770389,-4.86697181780928
430,-1.32494413140878,-3.61962879458163,-4.54328530028656,-4.65643999733867
432,-1.33772292861416,-3.56552451909646,-4.42918807534025,-4.46979447083456
434,-1.35212765033016,-3.51907308455318,-4.32817337626913,-4.3036932275164
436,-1.36799432694967,-3.47918515039113,-4.23836576604786,-4.15527919512345
438,-1.38518325803336,-3.44495337457548,-4.15820574861425,-4.02213054228051
440,-1.40357501793694,-3.41561966555085,-4.08639363549609,-3.90220259091685
442,-1.42306712804028,-3.39054836792318,-4.02184305148755,-3.79377101934266
444,-1.44357128982964,-3.36920440813376,-3.96364277418017,-3.69538053295758
446,-1.46501108624715,-3.35113552270849,-3.91102557607346,-3.60580036474666
448,-1.48732007200942,-3.33595781469981,-3.86334284937285,-3.52398660124337
450,-1.5104401859734,-3.32334400764027,-3.82004395557263,-3.44905072740008
