"Freq [MHz]","mag(Zt(Rectangle3_T1,Rectangle3_T1)) []"
148,178.326899136562
148.5,177.027688607953
149,175.733320618899
149.5,174.443722780038
150,173.158823377795
150.5,171.87855135865
151,170.602836313626
151.5,169.331608463006
152,168.064798641246
152.5,166.802338282105
153,165.54415940397
153.5,164.290194595366
154,163.040377000661
154.5,161.794640305946
155,160.552918725083
155.5,159.315146985933
156,158.081260316733
156.5,156.851194432636
157,155.624885522402
157.5,154.402270235229
158,153.183285667735
158.5,151.967869351059
159,150.755959238111
159.5,149.547493690932
160,148.342411468186
160.5,147.140651712759
161,145.942153939481
161.5,144.746858022946
162,143.554704185438
162.5,142.365632984965
163,141.17958530338
163.5,139.996502334596
164,138.816325572895
164.5,137.638996801322
165,136.464458080155
165.5,135.292651735467
166,134.123520347755
166.5,132.957006740653
167,131.793053969713
167.5,130.63160531126
168,129.472604251315
168.5,128.31599447459
169,127.16171985355
169.5,126.009724437542
170,124.859952441992
170.5,123.712348237669
171,122.566856340022
171.5,121.423421398583
172,120.281988186443
172.5,119.142501589808
173,118.004906597625
173.5,116.869148291299
174,115.735171834492
174.5,114.602922463016
175,113.47234547483
175.5,112.343386220139
176,111.215990091616
176.5,110.090102514752
177,108.96566893834
177.5,107.842634825119
178,106.720945642587
178.5,105.600546853996
179,104.481383909563
179.5,103.363402237902
180,102.246547237716
180.5,101.130764269768
181,100.01599864917
181.5,98.9021956380227
182,97.7893004384421
182.5,96.6772581860221
183,95.5660139437826
183.5,94.455512696657
184,93.3456993465817
184.5,92.23651870826
185,91.1279155056742
185.5,90.0198343694377
186,88.9122198350813
186.5,87.8050163423866
187,86.6981682358861
187.5,85.591619766671
188,84.4853150956589
188.5,83.3791982984956
189,82.2732133722868
189.5,81.167304244379
190,80.0614147834354
190.5,78.9554888130871
191,77.8494701284729
191.5,76.743302516022
192,75.6369297768831
192.5,74.5302957544511
193,73.4233443665111
193.5,72.3160196425801
194,71.2082657671166
194.5,70.1000271293532
195,68.9912483806175
195.5,67.8818745001307
196,66.7718508704139
196.5,65.6611233636009
197,64.5496384401468
197.5,63.4373432616514
198,62.3241858197761
198.5,61.2101150835455
199,60.0950811676883
199.5,58.9790355251005
200,57.8619311670208
200.5,56.7437229151118
201,55.6243676903505
201.5,54.5038248444901
202,53.3820565408703
202.5,52.2590281925781
203,51.1347089674403
203.5,50.0090723711026
204,48.8820969216224
204.5,47.7537669316252
205,46.6240734173018
205.5,45.4930151574672
206,44.3605999307755
206.5,43.22684596521
207,42.0917836414663
207.5,40.9554575012013
208,39.8179286228795
208.5,38.6792774427605
209,37.539607117359
209.5,36.3990475476352
210,35.2577602158175
210.5,34.1159440252104
211,32.9738423843815
211.5,31.8317518435374
212,30.690032677719
212.5,29.5491219255228
213,28.4095495425979
213.5,27.2719585285935
214,26.1371301511528
214.5,25.0060157429702
215,23.8797770163225
215.5,22.7598374593773
216,21.6479481911125
216.5,20.5462726972949
217,19.4574961707606
217.5,18.3849666967611
218,17.3328770667873
218.5,16.3064970362387
219,15.3124651130447
219.5,14.359143859846
220,13.4570282471091
220.5,12.6191645303601
221,11.86147654247
221.5,11.2028006069975
222,10.6643184261836
222.5,10.2680314311599
223,10.0341032594916
223.5,9.97744494708632
224,10.1046491501678
224.5,10.4126562606428
225,10.8898264060995
225.5,11.518821462955
226,12.279948119689
226.5,13.1538390117566
227,14.1230561692599
227.5,15.1727521051039
228,16.2907220509272
228.5,17.4671487725112
229,18.6942377834257
229.5,19.9658486118311
230,21.2771680244145
230.5,22.6244387226444
231,24.0047419252655
231.5,25.4158265085221
232,26.8559761362836
232.5,28.3239064685744
233,29.8186858156922
233.5,31.3396739416734
234,32.886474899533
234.5,34.4589007449092
235,36.0569437338432
235.5,37.6807551962035
236,39.3306297241048
236.5,41.0069936563486
237,42.7103971015239
237.5,44.4415089445522
238,46.2011144400323
238.5,47.9901151229634
239,49.8095308727591
239.5,51.6605040573973
240,53.544305767219
240.5,55.4623442276122
241,57.4161755615382
241.5,59.407517161619
242,61.4382640327579
242.5,63.5105085864977
243,65.6265645155577
243.5,67.7889955614899
244,70.0006502239099
244.5,72.2647037646182
245,74.5847092593856
245.5,76.9646599789674
246,79.4090660874769
246.5,81.9230495983835
247,84.5124628212989
247.5,87.1840373000453
248,89.9455726706993
248.5,92.8061782130223
249,95.776584467731
249.5,98.8695485553498
250,102.100385153371
250.5,105.487665520111
251,109.054138214202
