"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.4meter' antw='0.02meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.48meter' antw='0.02meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.56meter' antw='0.02meter'"
374,0.434273131163458,0.716959850976176,0.821593602097476
375,0.439245120264619,0.719016614272439,0.822550931669794
376,0.444445538065924,0.721311326256216,0.823685293624025
377,0.449949045679756,0.723873030822878,0.825012192931341
378,0.455827773216908,0.726726863629943,0.826544462151205
379,0.462148851750311,0.729892844904834,0.828291532471421
380,0.468971695579998,0.733384712114237,0.830258745691925
381,0.476345185483966,0.737208880746152,0.832446760954965
382,0.484304949047928,0.741363626778961,0.834851111863652
383,0.492870964082067,0.745838579567831,0.837461965292703
384,0.502045716927461,0.750614597454299,0.840264122007968
385,0.511813123531598,0.755664070829813,0.843237281602307
386,0.522138366937074,0.760951661219043,0.846356571893422
387,0.53296872557402,0.766435444679776,0.849593318579961
388,0.54423537302041,0.772068389117853,0.852916008029927
389,0.555856035423288,0.777800063736962,0.856291377977715
390,0.567738311563293,0.783578459394235,0.85968556029941
391,0.579783403990399,0.789351793619863,0.863065198292773
392,0.591889984452199,0.795070183436437,0.8663984678357
393,0.603957924100208,0.800687090452528,0.869655945836578
394,0.615891654645212,0.806160471893339,0.872811287935544
395,0.627602982885456,0.811453603460599,0.875841697498814
396,0.639013248073619,0.816535570666794,0.878728186820997
397,0.650054779639948,0.821381451086212,0.881455647032781
398,0.660671673641708,0.82597222874814,0.884012754314683
399,0.670819954316759,0.830294493042553,0.886391746338615
400,0.680467219529886,0.834339978567976,0.888588104809447
401,0.689591885615267,0.838105000650699,0.890600178429662
402,0.698182150055562,0.841589835484404,0.89242877663083
403,0.706234782727195,0.844798085665184,0.89407675905969
404,0.713753841643447,0.847736062785421,0.895548639971305
405,0.720749390616402,0.850412209808539,0.896850221038867
406,0.727236276828198,0.85283657791011,0.897988261075761
407,0.733233007984571,0.855020365739221,0.898970187009172
408,0.738760752787952,0.85697552376435,0.899803847213338
409,0.743842475523879,0.858714422473271,0.900497305961192
410,0.748502205713905,0.860249580538269,0.901058676176952
411,0.752764436827656,0.861593447424552,0.901495986730634
412,0.756653643555997,0.862758234087627,0.901817080065441
413,0.760193904641202,0.863755785165132,0.902029535858305
414,0.763408617256217,0.864597486239473,0.902140616569491
415,0.766320288989904,0.865294200182488,0.902157231048084
416,0.768950394266424,0.865856227178814,0.902085912756592
417,0.771319283219012,0.866293283677496,0.901932809609212
418,0.773446132438438,0.866614496183575,0.901703682849478
419,0.775348928473518,0.866828406435074,0.90140391280172
420,0.777044476375159,0.866942985093373,0.901038509703675
421,0.778548426885247,0.866965651594666,0.900612128158531
422,0.779875317044686,0.866903298263337,0.90012908403173
423,0.781038620018299,0.866762317175619,0.899593372862401
424,0.782050800808705,0.866548628588155,0.899008689064347
425,0.782923375265402,0.866267710016919,0.898378445361113
426,0.783666970402381,0.865924625273988,0.897705792038207
427,0.784291384532804,0.865524052949588,0.896993635707382
428,0.784805646128267,0.865070313971024,0.896244657367158
429,0.785218070627683,0.864567397984304,0.89546132961416
430,0.785536314670485,0.864018988393794,0.894645932914742
431,0.785767427422686,0.863428485964344,0.893800570888503
432,0.785917898812778,0.8627990309431,0.892927184587251
433,0.785993704606279,0.862133523697711,0.892027565776642
434,0.786000348330456,0.861434643896591,0.891103369244911
435,0.785942900120452,0.86070486827758,0.890156124175124
436,0.785826032599699,0.859946487065475,0.889187244625466
437,0.785654053935289,0.859161619108067,0.888198039167026
438,0.78543093822602,0.85835222580553,0.887189719731153
439,0.785160353389911,0.857520123910425,0.886163409719388
440,0.784845686720985,0.856666997275745,0.885120151428493
441,0.784490068283818,0.855794407627064,0.884060912841821
442,0.784096392309877,0.854903804432392,0.88298659383624
443,0.78366733675316,0.853996533940057,0.881898031851454
444,0.783205381154598,0.853073847451273,0.880796007065864
445,0.782712822955991,0.852136908890012,0.879681247120354
446,0.782191792394992,0.851186801728734,0.878554431428504
447,0.781644266103404,0.850224535324398,0.877416195108988
448,0.781072079521914,0.849251050715159,0.87626713257311
