f,Via(318MHz),No_via(287)
133500000,0.996614662,0.993138161
134000000,0.996519805,0.99301843
134500000,0.99642212,0.992895862
135000000,0.996321422,0.992770304
135500000,0.996217597,0.992641654
136000000,0.996110519,0.992509804
136500000,0.99600006,0.992374643
137000000,0.995886085,0.992236052
137500000,0.995768453,0.99209391
138000000,0.995647014,0.991948087
138500000,0.995521613,0.99179845
139000000,0.995392086,0.991644856
139500000,0.995258262,0.99148716
140000000,0.995119961,0.991325206
140500000,0.994976994,0.991158834
141000000,0.994829215,0.990987913
141500000,0.994676326,0.990812194
142000000,0.994518149,0.990631524
142500000,0.994354457,0.990445709
143000000,0.994185013,0.990254544
143500000,0.994009565,0.990057813
144000000,0.993827854,0.989855295
144500000,0.993639606,0.989646753
145000000,0.993444534,0.98943194
145500000,0.99324234,0.989210597
146000000,0.993032712,0.988982455
146500000,0.992815322,0.988747225
147000000,0.992589831,0.988504614
147500000,0.992356097,0.988254457
148000000,0.992113341,0.987996133
148500000,0.991861375,0.987729438
149000000,0.991599799,0.98745401
149500000,0.991328199,0.98716947
150000000,0.991046144,0.986875421
150500000,0.990753189,0.986571444
151000000,0.990448874,0.9862571
151500000,0.990132725,0.985931931
152000000,0.989804253,0.985595454
152500000,0.989462957,0.985247163
153000000,0.989108326,0.984886528
153500000,0.988739834,0.984512995
154000000,0.988356951,0.984125979
154500000,0.98795958,0.983725177
155000000,0.987546316,0.983309352
155500000,0.987117034,0.982878127
156000000,0.986671193,0.982430801
156500000,0.986208256,0.981966641
157000000,0.985727697,0.981484879
157500000,0.985229005,0.980984715
158000000,0.984711693,0.980465313
158500000,0.984175299,0.979925798
159000000,0.983619398,0.979365259
159500000,0.983043611,0.97878275
160000000,0.982447609,0.978177279
160500000,0.981831129,0.977547822
161000000,0.981194648,0.976893765
161500000,0.980536748,0.976213113
162000000,0.979858067,0.975505158
162500000,0.979158714,0.974768721
163000000,0.978438919,0.974002578
163500000,0.977699052,0.973205479
164000000,0.97693964,0.972376135
164500000,0.976161377,0.97151323
165000000,0.975365139,0.970615421
165500000,0.974551999,0.969681346
166000000,0.973723238,0.968709623
166500000,0.972880355,0.967698864
167000000,0.972025075,0.966647681
167500000,0.971160171,0.965555267
168000000,0.970286216,0.964419132
168500000,0.969406437,0.963238511
169000000,0.968523484,0.962012124
169500000,0.967640223,0.960738763
170000000,0.966759718,0.959417297
170500000,0.96588521,0.958046709
171000000,0.965020092,0.956626106
171500000,0.964167873,0.955154758
172000000,0.963332142,0.953632121
172500000,0.962516527,0.952057866
173000000,0.961724644,0.950431924
173500000,0.960960055,0.948754516
174000000,0.960226212,0.947026188
174500000,0.959527125,0.945248468
175000000,0.958864435,0.943421493
175500000,0.9582417,0.941547659
176000000,0.957661454,0.939629261
176500000,0.957125899,0.937669142
177000000,0.956636856,0.935670719
177500000,0.956195775,0.933638033
178000000,0.955803685,0.931575758
178500000,0.955461212,0.929489249
179000000,0.955168562,0.927384528
179500000,0.954925541,0.925268299
180000000,0.954731569,0.923147933
180500000,0.954585704,0.921031447
181000000,0.954487049,0.918927865
181500000,0.954433237,0.916845465
182000000,0.954422829,0.914794287
182500000,0.954453759,0.912784285
183000000,0.954523772,0.910825656
183500000,0.954630466,0.908928713
184000000,0.954771335,0.90710374
184500000,0.954943799,0.905360832
185000000,0.955145242,0.903709738
185500000,0.955373043,0.902159703
186000000,0.955624598,0.900719311
186500000,0.955897356,0.899396327
187000000,0.956188827,0.898197565
187500000,0.956496612,0.897128776
188000000,0.956818442,0.896194589
188500000,0.957152021,0.895398235
189000000,0.957495331,0.894741877
189500000,0.957846406,0.894226313
190000000,0.958203408,0.893851072
190500000,0.958564625,0.893614466
191000000,0.958928466,0.893513654
191500000,0.959293461,0.893544725
192000000,0.959658258,0.893702822
192500000,0.960021613,0.893982254
193000000,0.960382395,0.894376627
193500000,0.960739568,0.894878978
194000000,0.961092195,0.895481908
194500000,0.961439301,0.896177467
195000000,0.96178036,0.896958258
195500000,0.962114567,0.897816102
196000000,0.962441297,0.898743089
196500000,0.962759991,0.899731438
197000000,0.963070145,0.900773576
197500000,0.963371312,0.901862202
198000000,0.963663084,0.902990333
198500000,0.963945096,0.90415136
199000000,0.964217023,0.905339055
199500000,0.964478566,0.906547611
200000000,0.964729451,0.907771643
200500000,0.964969433,0.909006184
201000000,0.965198107,0.910246348
201500000,0.965415607,0.911488693
202000000,0.965621557,0.912729141
202500000,0.965815763,0.913964343
203000000,0.965998036,0.915191304
203500000,0.96616819,0.916407374
204000000,0.966326039,0.91761022
204500000,0.966471395,0.918797802
205000000,0.966604063,0.919968362
205500000,0.966723845,0.92112038
206000000,0.96683053,0.922252576
206500000,0.966923896,0.923363871
207000000,0.967003706,0.92445338
207500000,0.967069712,0.925520384
208000000,0.967121481,0.926564008
208500000,0.967159049,0.927584446
209000000,0.967181943,0.928581078
209500000,0.967189826,0.929553701
210000000,0.967182344,0.930502208
210500000,0.967159097,0.931426571
211000000,0.967119669,0.93232684
211500000,0.967063605,0.933203119
212000000,0.966990418,0.934055571
212500000,0.966899575,0.934884399
213000000,0.966790512,0.935689847
213500000,0.966662616,0.93647219
214000000,0.96651522,0.93723173
214500000,0.966347495,0.937968558
215000000,0.966158925,0.938683474
215500000,0.965948559,0.939376595
216000000,0.965715508,0.940048279
216500000,0.965458824,0.94069889
217000000,0.96517748,0.941328792
217500000,0.964870376,0.941938355
218000000,0.964536329,0.942527944
218500000,0.964174058,0.943097915
219000000,0.963782209,0.943648635
219500000,0.963359302,0.944180446
220000000,0.962903763,0.944693691
220500000,0.962413898,0.945188698
221000000,0.961887794,0.945665656
221500000,0.961323661,0.946125161
222000000,0.960719318,0.946567377
222500000,0.960072491,0.946992585
223000000,0.959380757,0.947401071
223500000,0.958641499,0.947793094
224000000,0.957851905,0.948168908
224500000,0.957008965,0.948528749
225000000,0.956109428,0.948872855
225500000,0.95514981,0.949201429
226000000,0.954126386,0.949514683
226500000,0.953035119,0.949812788
227000000,0.951871711,0.950095922
227500000,0.950631526,0.950364242
228000000,0.94930957,0.950617816
228500000,0.947900622,0.950856943
229000000,0.946398953,0.95108164
229500000,0.944798489,0.951292027
230000000,0.943092758,0.95148818
230500000,0.941274863,0.951670177
231000000,0.939337461,0.951838079
231500000,0.937272791,0.951991925
232000000,0.935072644,0.952131757
232500000,0.932728383,0.952257574
233000000,0.930230948,0.952369383
233500000,0.927570917,0.952467177
234000000,0.924738523,0.952550911
234500000,0.921723735,0.952620514
235000000,0.918516391,0.952675993
235500000,0.915106253,0.952717234
236000000,0.911483187,0.952744133
236500000,0.90763739,0.952756585
237000000,0.903559608,0.952754461
237500000,0.899241412,0.952737606
238000000,0.894675547,0.95270586
238500000,0.889856308,0.95265903
239000000,0.884779948,0.952596915
239500000,0.879445137,0.952519286
240000000,0.873853428,0.952425892
240500000,0.868009662,0.952316468
241000000,0.861922422,0.952190718
241500000,0.855604259,0.952048315
242000000,0.84907187,0.951888935
242500000,0.842346035,0.951712196
243000000,0.835451312,0.951517699
243500000,0.828415476,0.951305022
244000000,0.821268611,0.951073703
244500000,0.81404205,0.950823253
245000000,0.806767131,0.950553152
245500000,0.799473958,0.95026283
246000000,0.792190426,0.949951697
246500000,0.784941756,0.949619109
247000000,0.777750743,0.949264387
247500000,0.770639145,0.948886799
248000000,0.763630128,0.948485574
248500000,0.75675189,0.948059873
249000000,0.750042374,0.947608822
249500000,0.743554275,0.947131469
250000000,0.737359824,0.946626813
250500000,0.731554224,0.946093781
251000000,0.726256501,0.945531226
251500000,0.721606802,0.944937925
252000000,0.717759174,0.944312573
252500000,0.714870137,0.94365377
253000000,0.713083684,0.942960026
253500000,0.712515329,0.942229747
254000000,0.713237537,0.941461223
254500000,0.715270038,0.940652638
