"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
189,3358.11357678449,5738.18706335746
189.5,4333.03067807058,6172.67804779976
190,5687.30703579215,6488.47035841184
190.5,7521.36523383273,6450.49039389575
191,9784.76804271118,5624.06675115293
191.5,11959.7773581475,3495.69021217018
192,12944.6312890377,130.766402383391
192.5,12022.3135703351,-3268.00035002808
193,9855.63376677698,-5455.61992317333
193.5,7564.84531724152,-6317.60484735912
194,5699.82419087711,-6364.43116621893
194.5,4322.95683620593,-6043.63078875351
195,3334.05844668778,-5599.46448328237
195.5,2621.95034989469,-5141.60673498165
196,2101.58149748088,-4713.05961758184
196.5,1714.14236382343,-4327.27239008875
197,1420.06346955801,-3985.45341805736
197.5,1192.70913582006,-3684.18850501692
198,1013.93691041644,-3418.68763567433
198.5,871.186139482048,-3184.11156171292
199,755.605357957411,-2976.06487180571
199.5,660.846000352285,-2790.73356115199
200,582.277078305486,-2624.87741839651
200.5,516.466439566362,-2475.76938553964
201,460.832582270393,-2341.12150073767
201.5,413.4071089161,-2219.01357775507
202,372.670058585299,-2107.83036971794
202.5,337.43400068035,-2006.20846417984
203,306.761260676467,-1912.99233221826
203.5,279.903995415848,-1827.19832967199
204,256.260251822082,-1747.98534423328
204.5,235.341357487449,-1674.63088604997
205,216.747447911857,-1606.51159097255
205.5,200.148906378728,-1543.08728363611
206,185.272148945385,-1483.8879082397
206.5,171.88863655784,-1428.50277097947
207,159.806307931685,-1376.57164963854
207.5,148.862845418766,-1327.77741562341
208,138.920341102426,-1281.83988529897
208.5,129.861041476045,-1238.51067422518
209,121.583929498077,-1197.56887281673
209.5,114.001961603448,-1158.81739750095
210,107.039820601649,-1122.07989962929
210.5,100.632077633286,-1087.19813678373
211,94.721680530683,-1054.02972895221
211.5,89.2587041932208,-1022.44623630018
212,84.1993124899794,-992.331506695597
212.5,79.5048918573505,-963.580250345219
213,75.1413249799342,-936.0968063335
213.5,71.078379326054,-909.794071883493
214,67.2891902952521,-884.592570066032
214.5,63.7498226524506,-860.419635692684
215,60.4388970181638,-837.208702415712
215.5,57.3372706420495,-814.898676764104
216,54.4277636487978,-793.433387079564
216.5,51.6949235190795,-772.761097168648
217,49.1248218362438,-752.834076027489
217.5,46.7048783557643,-733.608216280731
218,44.4237082888775,-715.042695051966
218.5,42.2709893728083,-697.099671886182
219,40.2373458580666,-679.744019105328
219.5,38.3142470024355,-662.943080620598
220,36.4939180402598,-646.66645576935
220.5,34.7692619097812,-630.885805206721
221,33.1337902822974,-615.574676275971
221.5,31.5815626548189,-600.708345617638
222,30.1071324500775,-586.263677065665
222.5,28.7054992207847,-572.218993125613
223,27.3720661838135,-558.553958542763
223.5,26.1026024187007,-545.249474651153
224,24.8932091569744,-532.287583353088
224.5,23.7402896669296,-519.651379715891
225,22.640522305024,-507.324932291812
225.5,21.5908363618388,-495.293210370618
226,20.5883903790868,-483.542017464763
226.5,19.6305526558191,-472.057930405868
227,18.7148836977472,-460.82824350032
227.5,17.8391203944506,-449.840917252242
228,17.0011617358291,-439.084531215287
228.5,16.1990559022233,-428.548240581387
229,15.4309885825534,-418.221736155803
229.5,14.6952723922139,-408.095207404164
230,13.990337277534,-398.159308289302
230.5,13.3147218068141,-388.405125644131
231,12.6670652594342,-378.824149852044
231.5,12.0461004346624,-369.408247628654
232,11.4506471105862,-360.149636718634
232.5,10.8796060914171,-351.040862339086
233,10.3319537882561,-342.074775216659
233.5,9.80673728445421,-333.244511079698
234,9.30306984206642,-324.543471479257
234.5,8.82012681063711,-315.965305824062
235,8.3571419037786,-307.503894524492
235.5,7.91340381274309,-299.15333314966
236,7.48825312955988,-290.907917509711
236.5,7.08107955529671,-282.762129582598
237,6.69131937170074,-274.710624211082
237.5,6.31845315690519,-266.748216501446
238,5.9620037280729,-258.869869860521
238.5,5.62153429584455,-251.070684612285
239,5.29664681727023,-243.345887139333
239.5,4.98698053556143,-235.690819498203
240,4.69221069653469,-228.100929460748
240.5,4.41204743303451,-220.571760936605
241,4.14623480994553,-213.09894473434
241.5,3.89455002365023,-205.678189620985
242,3.65680275096614,-198.30527364161
242.5,3.43283464373193,-190.976035662155
243,3.2225189662983,-183.686367100077
243.5,3.02576037425183,-176.432203808474
244,2.84249483375076,-169.209518080159
244.5,2.67268968190941,-162.014310738797
245,2.51634382972606,-154.842603284565
245.5,2.37348811014217,-147.690430061967
246,2.24418577493747,-140.553830417338
246.5,2.12853314534002,-133.428840813285
247,2.02666042246068,-126.311486866753
247.5,1.93873266497575,-119.197775276632
