"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
181.5,677.841433005776,-2224.13821329724
182,591.53502616385,-2087.94596994407
182.5,519.478033336293,-1964.34850044092
183,458.790915890145,-1851.89679076963
183.5,407.267423028463,-1749.29290835058
184,363.199084131236,-1655.39213108099
184.5,325.249357502578,-1569.19324783246
185,292.362512006745,-1489.82415455173
185.5,263.696989353824,-1416.52633644265
186,238.576175298668,-1348.63996070321
186.5,216.4516690085,-1285.59032610162
187,196.875612498079,-1226.87591215679
187.5,179.479651460017,-1172.05802106294
188,163.9587959218,-1120.75189092954
188.5,150.058934619204,-1072.61911514018
189,137.567098036759,-1027.3611948814
189.5,126.303806836768,-984.714061409169
190,116.117015323328,-944.443421420124
190.5,106.877284364248,-906.340797786887
191,98.4739090034862,-870.220156328516
191.5,90.8117926392436,-835.915026055565
192,83.8089089444992,-803.276035040614
192.5,77.3942294635445,-772.16879668831
193,71.5060224272644,-742.472091856725
193.5,66.090449216741,-714.076301242654
194,61.1004008152597,-686.882049916792
194.5,56.4945287885531,-660.799032112967
195,52.2364347469824,-635.744989539649
195.5,48.2939895516726,-611.644820769471
196,44.6387592334529,-588.429802823495
196.5,41.2455190747166,-566.036909027517
197,38.09184084208,-544.40820968249
197.5,35.15774096512,-523.490344146625
198,32.42537969533,-503.23405464417
198.5,29.8788030734264,-483.593773553854
199,27.5037209772902,-464.527257136633
199.5,25.2873156905338,-445.995259677043
200,23.2180763798895,-427.961242867783
200.5,21.2856556428188,-410.391115989704
201,19.4807449197612,-393.253003051143
201.5,17.794966085741,-376.517033569698
202,16.2207769653358,-360.155154121056
202.5,14.7513888705676,-344.140958155701
203,13.3806945568306,-328.449531905659
203.5,12.1032052386006,-313.057314478251
204,10.9139955132392,-297.941970469475
204.5,9.80865521486758,-283.082273631776
205,8.78324736690491,-268.458000304859
205.5,7.83427152613536,-254.049831467738
206,6.95863191699571,-239.83926239911
206.5,6.15360984533036,-225.808519044115
